Id,Count
w_f48451c,14
w_c3d896a,4
w_20df2c5,4
new_whale,9664
w_dd88965,16
w_64404ac,5
w_a6f9d33,2
w_581ba42,14
w_cb622a2,5
w_d3b46e7,2
w_8cad422,6
w_13ae3d4,3
w_3de579a,54
w_1d0830e,11
w_2ba6978,2
w_8dddbee,2
w_2365d55,29
w_3879fa0,17
w_9c506f6,62
w_8a6a8d5,17
w_662530e,9
w_a8b34a0,16
w_c0d11da,15
w_50e8d58,7
w_3881f28,2
w_9ad3551,4
w_cee684e,3
w_41d24c6,7
w_8a235b6,2
w_2e231f4,3
w_6822dbc,36
w_df86a42,4
w_700ebb4,57
w_d892cd9,8
w_7a4b2f9,2
w_bc285a6,21
w_c70fbcd,3
w_778e474,40
w_f3252ff,6
w_2df85e7,16
w_c7cda47,2
w_62bb54b,1
w_c6c89db,6
w_1531bf5,6
w_4e1e04d,2
w_d6ca28d,3
w_1260eb5,5
w_fccccec,14
w_acd217a,2
w_5650932,10
w_c98aaad,4
w_dd944b7,11
w_6f0cbe3,11
w_6cfa650,8
w_6e209a8,13
w_1ea5d96,2
w_914b110,5
w_bf33ddf,1
w_0369a5c,61
w_13c9a17,3
w_3ff114c,6
w_c896384,3
w_a9304b9,37
w_48fa708,3
w_b44e89d,9
w_b7e3a9f,2
w_691b684,5
w_8be8406,1
w_4516d31,11
w_dd00c66,1
w_396c12b,11
w_03270e3,2
w_fbc7895,9
w_5597026,21
w_8a71ca4,2
w_a8c2847,9
w_9739508,6
w_ac97190,5
w_ddb62c2,7
w_13c1b55,10
w_5a9abcf,6
w_7571b52,3
w_40a8585,14
w_71af602,2
w_6189444,7
w_deacb11,1
w_9769f0b,2
w_f74a89e,16
w_263bd97,3
w_f1cd92c,1
w_688590b,3
w_77150d0,2
w_08630fd,31
w_89f521e,9
w_0ee9ae5,3
w_12e7c23,3
w_d6283ba,3
w_c8bbb43,10
w_191bce3,14
w_f793b1f,6
w_a491df7,1
w_0b1e4a6,16
w_e6450bc,10
w_4846b27,12
w_2e374c0,12
w_3e4b155,4
w_89f6097,17
w_7e56d66,9
w_c875e45,15
w_249346b,2
w_f0eddab,15
w_4f3cebf,2
w_a6df3a5,2
w_edce644,14
w_91b96c1,2
w_d9a3c6e,8
w_d0bfef3,10
w_d4211d9,1
w_59052ad,29
w_0513962,2
w_05b4b0c,3
w_5833b3d,1
w_e08506c,6
w_5bac7bb,2
w_b5c90a5,1
w_1ca9ab1,34
w_8d0d921,1
w_7e579dd,15
w_488865e,22
w_8b8dca8,7
w_f0fe284,45
w_f459442,6
w_0a155b9,24
w_e04d084,5
w_f6b8ccb,4
w_7038727,2
w_13250ab,2
w_4214909,3
w_26e4f44,1
w_4c614f3,2
w_73282ec,5
w_d6f0be4,7
w_cf31c86,1
w_2964e0b,9
w_90c9763,20
w_c379d78,1
w_2e4af64,1
w_1423c1f,2
w_5065c2b,1
w_8507818,3
w_072f593,2
w_0189b6d,10
w_ee2326a,2
w_f276da3,6
w_2b47174,3
w_55e0064,1
w_b70c09f,3
w_ed1df50,4
w_91037a7,4
w_c8d5ad5,11
w_d72771c,32
w_b3196aa,6
w_fd9d727,1
w_51e7506,15
w_e47e686,2
w_5f20f03,9
w_23a388d,73
w_329c19c,3
w_83869d3,2
w_d405854,47
w_2f5caa9,2
w_e42007e,3
w_4ff2f4a,8
w_10eece8,1
w_b3cde16,7
w_9573686,5
w_cda3971,12
w_0bd39c1,2
w_4175cb7,1
w_065ee1b,4
w_3f7d5f5,8
w_715ceba,1
w_c144f80,2
w_025911c,19
w_bc677de,8
w_8b1f4be,2
w_f7d8d22,3
w_760c469,7
w_814a1cc,2
w_ce4d993,2
w_65dadc8,1
w_b8a7ee7,5
w_9cc2c36,4
w_23e1d57,6
w_ce67c4c,2
w_f8c22dc,7
w_3f22dc6,5
w_dee1053,17
w_9af432a,2
w_bb2c919,12
w_6c09f7f,4
w_cbb15d2,11
w_ae53e45,2
w_0cfdaa5,8
w_91cc02c,25
w_d006897,2
w_8443156,2
w_edf43c1,6
w_328e490,1
w_d240f68,1
w_0b398b2,9
w_f1d2902,1
w_ec4299b,2
w_78bfd01,1
w_31d1d50,1
w_a32898d,2
w_dfbf100,2
w_8da30ad,22
w_7e9ae57,2
w_691f2f6,8
w_ac2df91,2
w_ac26398,1
w_f70c302,4
w_fa7cd91,4
w_6c0cdb1,3
w_68c4ecf,8
w_00b3dc2,1
w_62e16d6,1
w_f2f7550,2
w_4dac709,3
w_234713b,17
w_a87ec7e,2
w_e0a42ad,1
w_178144f,1
w_d6907f5,3
w_0e7ec27,2
w_daeba33,2
w_b1461a9,2
w_68ed1f9,3
w_78e229f,5
w_302799d,3
w_564a34b,51
w_66e3287,1
w_99af1a9,4
w_4690940,14
w_85b252c,2
w_66b4513,2
w_b4396ae,6
w_fdc6e6d,3
w_45e2fc0,3
w_5e8e218,40
w_8f4d879,6
w_c0f1e04,6
w_d14059c,3
w_9f13096,11
w_8799716,9
w_cb9f118,3
w_b992a50,1
w_8193215,7
w_9eccb4c,3
w_5cf4727,2
w_f19aeb4,2
w_3bd976e,4
w_8431ae8,8
w_1c2e409,2
w_9b5109b,65
w_a5e6557,3
w_dc662ea,6
w_d0475b2,10
w_bbfce38,8
w_76d1f84,2
w_b3ca4b7,16
w_40a6c9c,4
w_736cca3,3
w_61e4690,2
w_68311ed,1
w_f2075ef,4
w_56d38d8,2
w_888391a,4
w_42b0064,2
w_11ff425,10
w_76f4d0b,3
w_6e51c06,4
w_bc7de9f,9
w_96985c1,6
w_99383ac,2
w_6caff0f,27
w_53feb91,17
w_37d2f3a,12
w_cefd512,7
w_c7a611a,5
w_939423d,13
w_9748a78,5
w_0135f5f,23
w_02d138d,4
w_57abc0f,6
w_18f9d19,3
w_b128587,15
w_3e34a5f,1
w_c25d2d1,19
w_ac5aa34,5
w_c0e2505,7
w_b6ddd17,1
w_203042e,1
w_902f8b0,4
w_27b7295,11
w_714f89f,6
w_ba62b79,1
w_4eb6bcc,4
w_2d7c2dd,3
w_4ab3420,11
w_b938e96,15
w_eae91de,1
w_17c9df5,2
w_c2397a4,4
w_cac9bdb,8
w_01cbbbd,9
w_a059841,10
w_45c3ea2,2
w_91f13fe,1
w_bf41c21,10
w_fec331a,11
w_21bb5bd,3
w_c6a96e1,3
w_c27588a,6
w_6823268,1
w_5083a58,2
w_b420d45,2
w_18934ab,4
w_6b2a111,3
w_2a946f2,2
w_b5c3634,2
w_335a58c,3
w_91cdea4,3
w_5d5c6a6,15
w_ba4f96c,8
w_5fe949c,2
w_67a9841,17
w_391ef09,1
w_6d527ff,1
w_a0f456b,2
w_8b86b95,15
w_24d3109,2
w_93ef4fa,3
w_2df1d85,1
w_d89acf0,1
w_aa32f70,12
w_14ece76,6
w_ec16cc4,9
w_3108dce,7
w_db3cfa4,6
w_6cca536,2
w_f37c434,3
w_1afff3f,1
w_729290b,4
w_0a7a37c,5
w_f408b56,8
w_861e504,8
w_da40b39,4
w_0cbf1b3,12
w_5808373,4
w_7c60e77,3
w_a10e633,9
w_150a6f5,3
w_0531ad5,7
w_43312c4,1
w_24ca106,3
w_925bdf6,1
w_75ec7c1,2
w_0abdaf4,10
w_c3bed1a,4
w_4a28f21,13
w_fdd3687,11
w_a0fcfc1,2
w_4fdff73,9
w_3949bd6,1
w_52a5d92,2
w_6525e6b,9
w_50fd107,11
w_db68456,18
w_34434d1,2
w_4bf625b,20
w_0655a0d,4
w_9ca67be,3
w_5773c71,23
w_91005b3,2
w_c25deb9,3
w_5841fb9,8
w_611e69e,1
w_a743e09,9
w_2b65b34,13
w_83b2336,11
w_f829227,12
w_0655608,3
w_a190a88,13
w_fd906cc,10
w_f765256,34
w_692734c,4
w_28a16b0,5
w_6fd8b4b,2
w_4b4f9b7,2
w_7ab2120,3
w_7478938,2
w_72f5c64,2
w_5bd26de,2
w_b71ac68,16
w_d0b330d,4
w_abf0b13,2
w_d140497,2
w_20ad973,1
w_94a0d4e,1
w_88bb921,4
w_e99e430,5
w_2fc775e,2
w_60ce6fc,37
w_ba9804a,4
w_fd3e556,50
w_b4e9da5,2
w_efa100e,6
w_66c5323,1
w_171dc55,5
w_4441671,9
w_b9e5911,24
w_e906edd,20
w_3d88ad4,1
w_e45491e,2
w_32015c2,2
w_1788910,6
w_eaa4d20,3
w_7cb0e92,5
w_553d1ef,8
w_04ebfe8,2
w_6cda039,31
w_aabdf8c,15
w_0886321,6
w_452d137,2
w_0a6c4c7,1
w_8a10a82,1
w_ae24bd1,2
w_ab2ac77,14
w_aee1ccf,6
w_2c3768d,2
w_0fdf741,17
w_673ff5b,2
w_e3956f5,7
w_8f0c6ed,8
w_b99f945,6
w_04003e9,30
w_bfcad53,25
w_04713fd,4
w_2b4b82e,13
w_3eae264,11
w_9be7408,2
w_abeab1e,1
w_c5bb7bb,3
w_7e2eb3d,18
w_1f6de0b,1
w_1cb0ffc,1
w_689e1cd,2
w_6f7611c,8
w_e9cf335,8
w_5c51475,9
w_3224f68,3
w_80d945b,3
w_34ecf36,18
w_4c206e7,9
w_c16cb2c,14
w_bcf69e9,2
w_dc27ce9,4
w_4d06559,2
w_d588fb4,14
w_8ea9f68,7
w_fc0cb69,5
w_f06439d,3
w_01f14e1,6
w_2b979e6,1
w_c563492,5
w_104d305,2
w_95c7a6f,3
w_1417bc8,4
w_53215c6,14
w_ea6a9f4,3
w_15e7de5,2
w_b20b425,4
w_939a97b,5
w_054162a,2
w_ef83760,21
w_0f56fb2,6
w_3b955d1,2
w_decd606,1
w_e36fb17,2
w_e6c320e,2
w_16dfac7,7
w_c6fe966,16
w_662c89b,2
w_0d5a672,2
w_6e8c101,1
w_acf8fd1,1
w_4e13e82,5
w_6f9f759,4
w_fe8e55c,1
w_6ed6320,2
w_88e4537,49
w_e3582ac,4
w_1b7eaad,8
w_8a06b46,3
w_52db74a,1
w_f75ed58,7
w_456646a,9
w_1133530,5
w_611d18b,6
w_fe95c92,1
w_455bc02,3
w_6fed7c4,1
w_315c854,2
w_477f7b1,1
w_92f64ee,2
w_146208a,1
w_8af65ed,4
w_c684a38,9
w_840061a,4
w_9d29561,7
w_985d205,6
w_49afbc9,3
w_dea40e2,14
w_ddff916,4
w_c4b02b0,8
w_fad9574,4
w_a2158b8,5
w_7b098ce,6
w_dbf7f76,1
w_5c083e6,2
w_b51a226,3
w_615a631,2
w_58afeb2,8
w_6e6307e,15
w_fb98d50,2
w_16df050,17
w_576026e,3
w_551f361,10
w_367832c,2
w_fe881f2,9
w_df5bf3d,9
w_698fcbe,16
w_2ca9282,1
w_a1a4bb2,3
w_584e1dc,9
w_72afa97,1
w_5b227ec,8
w_13c8177,4
w_7ac28dd,1
w_3c4f583,1
w_dfb57cc,1
w_2f67f0a,7
w_336e046,5
w_10f67bb,5
w_1554173,3
w_27597ff,24
w_11d8c70,6
w_e2a09d4,21
w_de03861,3
w_a283c8c,4
w_1a96d7b,2
w_bf960fa,13
w_32eaf54,1
w_d829778,2
w_d066c0a,12
w_98e83cc,2
w_e21b629,3
w_412b5ad,4
w_343f088,40
w_8ae65ef,1
w_19f507e,7
w_47996c6,3
w_9a91c1e,10
w_ec77506,1
w_d7b6f17,6
w_ab44c81,4
w_3263e72,1
w_4ea4f59,9
w_1e85eea,10
w_180e241,5
w_8e92662,7
w_c3e88ae,2
w_8d71480,5
w_954fec8,3
w_6e0a45b,8
w_b86917d,4
w_d215a68,1
w_f47f214,3
w_e936b45,4
w_cb856e6,3
w_01e1fe0,1
w_f314516,4
w_f011b98,1
w_92c4ea5,1
w_f9a9dec,3
w_abb3ee6,1
w_990921b,24
w_ebb99e5,1
w_ddf876d,3
w_394165d,4
w_0a4f5c9,1
w_48aa237,7
w_7c5b20d,3
w_9c08fc2,1
w_c562eba,1
w_2b50adf,3
w_8aae94b,1
w_5e63553,2
w_222ba28,2
w_4e9b3a3,1
w_71d5ba2,11
w_f84e6e1,2
w_21f1129,1
w_99d1f45,1
w_c9628f2,1
w_562b227,2
w_c6b4d61,17
w_57a546c,3
w_de09116,1
w_62c78f3,14
w_41a2f20,3
w_e5978cf,10
w_25085e0,7
w_30f2f0f,12
w_45246db,10
w_6b9af3a,2
w_7a97301,1
w_7087c88,2
w_9ba6731,1
w_af367c3,35
w_4130233,9
w_28589bc,4
w_5072c08,1
w_bd4e5dd,4
w_abfccb7,2
w_b60e861,1
w_08d62ee,10
w_5665c80,5
w_1032fa3,4
w_95c932d,3
w_984bb5c,2
w_3f5e8d7,1
w_6aab519,7
w_26aeb61,1
w_b3b887d,1
w_0718183,9
w_07cc9c2,3
w_659bdb8,19
w_e966f36,16
w_f602022,12
w_7d8c37c,5
w_f4af291,1
w_6ebed02,5
w_cef693e,4
w_2df37cc,6
w_286d2cc,2
w_fbcfe1a,3
w_a0265bd,2
w_fcdda4c,1
w_07125ed,4
w_9593412,1
w_d6d89ed,6
w_3a333ae,1
w_5645ed1,9
w_f35e494,5
w_bece5a4,2
w_88e4cbf,1
w_b397217,5
w_90abfeb,6
w_00904a7,11
w_49ee8e0,1
w_3815890,21
w_a586dce,10
w_bdfd856,1
w_45df6b0,2
w_5a3cd6d,3
w_093d284,5
w_f7234f1,1
w_9732911,3
w_dc642b6,2
w_836581c,4
w_d6d2e4f,1
w_a2f8488,10
w_df34804,3
w_34afc43,2
w_aa3489d,4
w_2694603,2
w_0a87ea4,5
w_12e8dc7,2
w_adedd1f,4
w_5510cf3,5
w_f9707a7,1
w_1666216,2
w_416168a,2
w_4344f5e,4
w_d5e0aba,1
w_f6c5343,17
w_fb3959d,3
w_352445a,2
w_ee318d3,1
w_f66ec54,11
w_5821157,7
w_fccac74,3
w_b3cfa1d,6
w_3b03149,15
w_9fc06d4,8
w_61b9586,6
w_522e959,1
w_8fd3810,3
w_3cb4838,2
w_ee2a1e0,2
w_ac2c28e,11
w_c01c1f4,17
w_789c969,45
w_ec7f1b3,3
w_733f661,17
w_91dd720,2
w_aa0dacc,12
w_1f7c696,5
w_6c2aa5f,1
w_749dffd,5
w_0f25e3c,1
w_25e04d9,1
w_5591cd8,1
w_f648d33,7
w_e6d46e4,2
w_b9d5945,10
w_0f0f15c,2
w_f1d2222,2
w_8b61e65,1
w_0b3e0e6,3
w_4df6c4b,1
w_e64d9d1,1
w_982f0b3,1
w_c85ff1e,6
w_9da1811,21
w_17b0d3a,33
w_857cb95,6
w_13aa123,12
w_274d994,7
w_6ae4956,5
w_7ca2a9b,1
w_d9d1e17,2
w_f437f82,8
w_53276a1,3
w_d49d4d7,2
w_9de2647,1
w_5325f8a,2
w_be4f189,13
w_ea7bbc6,1
w_d64c2ec,1
w_2f1488c,10
w_37e61c2,6
w_274397d,2
w_9e18daa,1
w_ad6a6ca,4
w_e0b6a42,1
w_789e0e6,1
w_f4e69f1,3
w_8f1069a,12
w_f61b957,22
w_26c0ffd,15
w_5031cac,1
w_0f466a5,6
w_ac0f6c4,3
w_c158581,5
w_60cf87c,22
w_446a02d,10
w_7a91862,4
w_3ec7fa2,6
w_dc23fbc,5
w_e21819b,2
w_fec5547,4
w_a48fa24,1
w_6643fe8,2
w_4776fc5,3
w_1f0cf0a,18
w_98fc82f,2
w_69c06ad,8
w_4516ff1,21
w_650f587,3
w_f4f3715,1
w_8340caf,2
w_1e283bb,4
w_9b69214,6
w_e568f47,2
w_686c0b3,1
w_685d7a7,1
w_066ddc5,5
w_3e59d84,1
w_f08fb81,3
w_dfe485f,3
w_9b3076d,7
w_df81c5d,2
w_4a8a4c9,2
w_4d61be5,1
w_a33d1c0,1
w_cc00be9,2
w_00656c0,2
w_dd677ef,1
w_9142b9c,2
w_8a1786f,9
w_748290a,7
w_6d8b67b,2
w_7ba6d48,5
w_27a6304,9
w_c10fcb2,3
w_e014c37,1
w_b26e855,1
w_21b2790,6
w_2d6596f,7
w_072179d,1
w_26f7c39,3
w_7fcf284,1
w_94595ec,1
w_0637181,3
w_a7d01cb,2
w_420dafb,1
w_0a84ac5,2
w_89f0c48,2
w_1f1cee1,10
w_63ea6fd,3
w_f01ade6,2
w_b4841bd,2
w_0c5f019,5
w_4678fbb,3
w_c7a8a7f,1
w_7d34a32,1
w_df32eec,13
w_e19c1d6,4
w_3a34d6f,4
w_94e8c02,2
w_cd99382,4
w_2e4cb98,7
w_9957aed,2
w_e329a65,1
w_38de45d,6
w_4fa0ba1,3
w_fbebe60,1
w_981075b,1
w_acba807,4
w_593949b,4
w_7432816,5
w_4c18cce,2
w_aaf3463,4
w_b0446cd,1
w_d395243,3
w_5482351,3
w_f39c242,1
w_7d6527e,5
w_7d8c36f,2
w_9a9a2c8,8
w_b6ad668,3
w_9032a74,7
w_cd4cb49,24
w_e4d305b,3
w_494c72d,3
w_15d12c7,1
w_074530d,2
w_78e6713,1
w_c734fa4,6
w_022b708,10
w_9a5bb2d,3
w_f3d2e31,4
w_ee57fc5,2
w_d77337e,2
w_4b143db,2
w_7aea0b8,10
w_7d44896,19
w_5d1b1a7,9
w_3aa8e97,2
w_f7cd240,12
w_8c25681,31
w_bde88d5,1
w_a6a732d,13
w_8f38839,3
w_7c77c5c,12
w_3057209,9
w_0f4d4ac,2
w_5b3289c,2
w_519a081,2
w_8cb5e04,3
w_dc56028,3
w_34120de,11
w_4cf5e29,3
w_ec4bcf9,4
w_2059146,2
w_fd6a3ad,30
w_ed07656,1
w_f3179b3,1
w_45e277d,3
w_8cbe62a,2
w_9adf29b,2
w_2812e0d,3
w_5390260,3
w_28218e1,7
w_12cc52d,17
w_26923f7,1
w_06619ff,2
w_264c2e1,2
w_a8d89df,4
w_f3b6937,1
w_3209f9e,2
w_8b943ef,2
w_81aa796,1
w_ebfbdda,1
w_0ad1734,1
w_f91aeec,2
w_966f46a,3
w_3bf2653,9
w_bef0a5d,5
w_36bbd71,17
w_8f65356,1
w_b524f96,3
w_8cfabed,6
w_cd2d796,1
w_ec98537,4
w_cded134,2
w_b48de8c,2
w_4801beb,5
w_9f2cfff,3
w_491bdcb,1
w_e19a641,8
w_588f349,4
w_7122684,2
w_955bfe2,10
w_1932830,2
w_68eaf36,6
w_abd456f,4
w_b3cc7b3,11
w_3f213d5,1
w_c6b05f1,2
w_ae8982d,12
w_9287505,4
w_0887d9b,14
w_6fce84d,8
w_ab7c369,20
w_d2b7856,1
w_a6d6964,3
w_5a2634c,37
w_9d86594,16
w_0714a46,3
w_57db059,10
w_e27bbf6,19
w_98cc97d,4
w_98a87a6,2
w_84c23bb,2
w_53d6a5e,1
w_98f2705,9
w_928ec6c,1
w_e6325d7,3
w_12fdac7,5
w_5bf792a,6
w_51fc1fc,30
w_4312b77,3
w_1efbb8e,4
w_53ce2e1,4
w_14b1427,4
w_73d71d2,11
w_10f3b75,2
w_e4b4611,2
w_c014421,1
w_c1d2d7f,2
w_d1207d9,3
w_553d3d0,4
w_bcba9e8,3
w_c5260b8,9
w_8c959a6,4
w_b02ac52,6
w_02545ea,2
w_6cb7724,2
w_b35b19d,3
w_1fe6c6e,2
w_88aca21,5
w_a88f2c1,8
w_b535cbd,1
w_28c330c,10
w_27272a5,3
w_4fadedd,6
w_2ec0a71,4
w_84d832d,2
w_b2606f3,3
w_916c746,1
w_ab44ae4,9
w_21a7dac,1
w_57acd97,6
w_a76f0b7,1
w_85d9229,6
w_2645f4d,7
w_cf25b84,2
w_f64d347,3
w_cb0aaf0,4
w_a548534,1
w_81d4bd6,7
w_6a1280c,5
w_185bc11,1
w_817d53c,7
w_b330c85,7
w_6dc5981,1
w_e819d10,3
w_80f481f,6
w_9353e7c,5
w_0df7caf,3
w_ec64e27,2
w_4dcc907,1
w_414d441,2
w_ce8906f,1
w_fbfe96b,6
w_afcf807,2
w_bb4f52e,7
w_591a2c5,15
w_06a10b4,6
w_3214120,1
w_ae393cd,17
w_fb9392c,1
w_68465c0,1
w_4661aac,2
w_5010896,4
w_1e1e5d9,3
w_7cd0b86,1
w_fc83ab4,4
w_4e87672,2
w_14330a0,12
w_e2372d6,18
w_bfe77d0,20
w_32043b0,2
w_731fe92,2
w_b9d732d,4
w_711765a,2
w_c183657,4
w_22e82fa,1
w_6920fb7,2
w_9e3859e,3
w_cf1e889,3
w_7348ed5,4
w_60f11fb,5
w_8305a19,1
w_c865cfd,2
w_84b255f,2
w_0d11fa9,1
w_c148ab4,2
w_5c57f77,1
w_551165a,5
w_e26eb46,5
w_010f858,5
w_cfae8d8,5
w_f57140c,5
w_06471d5,4
w_fc6f897,1
w_aea4301,1
w_5077be0,3
w_e25b062,6
w_15805cd,12
w_a3d2008,2
w_a61a47c,3
w_f59bb62,2
w_c797292,2
w_39ea8fa,1
w_e4502b3,3
w_a7e3d55,3
w_4e33dc8,1
w_06935ed,2
w_c0d8dcd,1
w_eba33fb,19
w_e73cce3,4
w_5966e55,1
w_f442602,2
w_c1d2fbe,13
w_bd1c3d5,12
w_b9c99cc,12
w_0db234e,4
w_be28cde,1
w_293431f,5
w_099bcbc,1
w_4fa2f05,1
w_46e198f,2
w_62ecd30,1
w_efbdcbc,22
w_f58da65,2
w_a32ff7f,2
w_f2e561e,2
w_df6efd0,1
w_cd645e4,1
w_1920193,1
w_f0663e5,2
w_c058057,7
w_298f605,3
w_733e9cc,1
w_10bb1ba,3
w_76ad1d2,3
w_fdcaaa8,7
w_5ce9577,2
w_cf88f4b,5
w_0a3255c,1
w_c178f34,3
w_335bdd1,2
w_77c86af,8
w_bd9f354,2
w_3e9dc66,2
w_1483be2,1
w_2652d72,1
w_b4fe6b0,4
w_f992eae,4
w_87ed7a9,1
w_7a61cb2,2
w_2af46a8,8
w_c9634dc,2
w_c84b36b,2
w_6d8fad3,2
w_3ac9d34,1
w_4b5ade3,1
w_e1ffbe2,23
w_e16924b,2
w_910831a,5
w_27d6aac,3
w_3002b59,11
w_242fb46,23
w_02c7e9d,5
w_807f02e,2
w_cf9055c,3
w_c0b01ea,3
w_d066f46,19
w_88445b2,8
w_9b565fa,2
w_1419d90,7
w_ec7e60a,2
w_c5dbf98,2
w_e4a9205,6
w_4c0a2c9,5
w_68bb40f,2
w_c9ea055,1
w_8e88f4f,5
w_2eec458,3
w_e0f37d9,1
w_3b5aee2,1
w_169a302,2
w_c566a3d,6
w_7b703d1,1
w_0b10e7c,4
w_428ca58,2
w_780c931,2
w_3982e1e,1
w_f2fd557,1
w_d494351,13
w_86d0c34,1
w_c3c0d22,4
w_2f74ff3,9
w_e3fb839,1
w_fa11a3f,1
w_4f8332a,2
w_b1a3345,2
w_971d191,2
w_b96391f,2
w_67153b4,5
w_a113b33,20
w_b18df25,4
w_6c995fd,7
w_0fedd59,1
w_b433be9,3
w_0af3867,1
w_c55c51d,11
w_721e78f,1
w_8fda8b2,1
w_d285a7a,1
w_95a5270,2
w_21fd105,2
w_69a58b2,3
w_a165159,2
w_835a1eb,2
w_752ffa2,3
w_5101888,4
w_8f2943e,2
w_9b89c88,6
w_c4f01e2,1
w_2f94559,2
w_3309cbd,3
w_fe15413,6
w_dc94d80,1
w_81d1ff9,3
w_90fb95b,7
w_0d98e43,1
w_67fa427,1
w_59088ff,3
w_d7aad03,5
w_0fdde23,1
w_03ea6f9,1
w_d236b51,8
w_4e63f7a,4
w_5f54045,5
w_afb4a42,3
w_9f2fb13,1
w_b7cf3f5,3
w_9eb2d2a,8
w_75f6ffa,24
w_263fcb0,6
w_72ab123,2
w_70e9661,7
w_5e5fec6,1
w_9697236,6
w_14461a7,2
w_94f4850,1
w_6279534,8
w_6ca173f,5
w_8003858,12
w_902d8ef,1
w_9072933,1
w_7d06258,1
w_6a8bad9,3
w_93d7617,2
w_1daae48,1
w_61d48c9,2
w_1af6b9a,4
w_2856c57,1
w_b2af5eb,2
w_7c718f4,1
w_6fc8edc,4
w_d97c490,11
w_9227ca2,2
w_3feca90,4
w_b6de8e1,1
w_15bf4be,2
w_3a63e33,5
w_ec0e6ed,5
w_8d0a2a2,6
w_fa8c44c,5
w_6e97ef4,15
w_48619b3,4
w_be3f623,3
w_ca11f46,4
w_dab2353,1
w_9cc2050,1
w_2ed0d2f,7
w_6e0afa2,2
w_7d724a2,2
w_d52a837,3
w_1006b9c,4
